Sr. No.,CDT (s),Delay(s),Delay(ms),Component ID,Range/Position,Failure Case Sequence
125,0,0.4,400,M_EV_Inj_1,Open,
126,0,0,0,M_EV_Inj_2,Open,
127,0,0,0,M_EV_Inj_3,Open,
128,0,0,0,M_EV_Inj_4,Open,
129,0,0,0,M_EV_Inj_5,Open,
130,0,0,0,M_EV_Inj_6,Open,
131,0,0,0,M_EV_Inj_7,Open,
132,0,0,0,M_EV_Inj_8,Open,
133,0,0,0,M_EV_Inj_9,Open,
134,0,0,0,M_EV_Inj_10,Open,
135,0,0,0,M_EV_Inj_11,Open,
136,0,0,0,M_EV_Inj_12,Open,
137,0,0,0,M_EV_Inj_13,Open,
138,0,0,0,M_EV_Inj_14,Open,
139,0,0,0,M_EV_Inj_15,Open,
140,0,0,0,M_EV_Inj_16,Open,
141,0,0,0,M_EV_Inj_17,Open,
142,0,0,0,M_EV_Inj_18,Open,
143,0,0,0,M_EV_Inj_19,Open,
144,1,1,1000,I_PT(P)_1,0\7,GAB
145,1,0,0,I_PT(P)_2,0\7,GAB
146,1,0,0,I_PT(P)_3,0\7,GAB
147,1,0,0,I_PT(P)_4,0\7,GAB
148,1,0,0,I_PT(P)_5,0\7,GAB
149,1,0,0,I_PT(P)_6,0\7,GAB
150,1,0,0,I_PT(P)_7,0\7,GAB
151,1,0,0,I_PT(P)_8,0\7,GAB
152,1,0,0,I_PT(P)_9,0\7,GAB
153,1,0,0,I_PT(P)_10,0\7,GAB
154,1,0,0,I_PT(P)_11,0\7,GAB
155,1,0,0,I_PT(P)_12,0\7,GAB
156,1,0,0,I_PT(P)_13,0\7,GAB
157,1,0,0,I_PT(P)_14,0\7,GAB
158,1,0,0,I_PT(P)_15,0\7,GAB
159,1,0,0,I_PT(P)_16,0\7,GAB
160,1,0,0,I_PT(P)_17,0\7,GAB
161,1,0,0,I_PT(P)_18,0\7,GAB
162,1,0,0,I_PT(P)_19,0\7,GAB
163,1.5,0.5,500,SP_1,Close,
164,1.5,0,0,SP_2,Close,
165,1.5,0,0,SP_3,Close,
166,1.5,0,0,SP_4,Close,
167,1.5,0,0,SP_5,Close,
168,1.5,0,0,SP_6,Close,
169,1.5,0,0,SP_7,Close,
170,1.5,0,0,SP_8,Close,
171,1.5,0,0,SP_9,Close,
172,1.5,0,0,SP_10,Close,
173,1.5,0,0,SP_11,Close,
174,1.5,0,0,SP_12,Close,
175,1.5,0,0,SP_13,Close,
176,1.5,0,0,SP_14,Close,
177,1.5,0,0,SP_15,Close,
178,1.5,0,0,SP_16,Close,
179,1.5,0,0,SP_17,Close,
180,1.5,0,0,SP_18,Close,
181,1.5,0,0,SP_19,Close,
182,2,0.5,500,G_EV_1,Close,
183,2.05,0.05,50,G_EPV_DRAIN,Open,
184,2.45,0.4,400,M_EV_1,Close,
185,2.5,0.05,50,M_EPV_DRAIN,Open,
186,4,1.5,1500,G_EV_Inj_1,Close,
187,4,0,0,G_EV_Inj_2,Close,
188,4,0,0,G_EV_Inj_3,Close,
189,4,0,0,G_EV_Inj_4,Close,
190,4,0,0,G_EV_Inj_5,Close,
191,4,0,0,G_EV_Inj_6,Close,
192,4,0,0,G_EV_Inj_7,Close,
193,4,0,0,G_EV_Inj_8,Close,
194,4,0,0,G_EV_Inj_9,Close,
195,4,0,0,G_EV_Inj_10,Close,
196,4,0,0,G_EV_Inj_11,Close,
197,4,0,0,G_EV_Inj_12,Close,
198,4,0,0,G_EV_Inj_13,Close,
199,4,0,0,G_EV_Inj_14,Close,
200,4,0,0,G_EV_Inj_15,Close,
201,4,0,0,G_EV_Inj_16,Close,
202,4,0,0,G_EV_Inj_17,Close,
203,4,0,0,G_EV_Inj_18,Close,
204,4,0,0,G_EV_Inj_19,Close,
205,4.4,0.4,400,M_EV_Inj_1,Close,
206,4.4,0,0,M_EV_Inj_2,Close,
207,4.4,0,0,M_EV_Inj_3,Close,
208,4.4,0,0,M_EV_Inj_4,Close,
209,4.4,0,0,M_EV_Inj_5,Close,
210,4.4,0,0,M_EV_Inj_6,Close,
211,4.4,0,0,M_EV_Inj_7,Close,
212,4.4,0,0,M_EV_Inj_8,Close,
213,4.4,0,0,M_EV_Inj_9,Close,
214,4.4,0,0,M_EV_Inj_10,Close,
215,4.4,0,0,M_EV_Inj_11,Close,
216,4.4,0,0,M_EV_Inj_12,Close,
217,4.4,0,0,M_EV_Inj_13,Close,
218,4.4,0,0,M_EV_Inj_14,Close,
219,4.4,0,0,M_EV_Inj_15,Close,
220,4.4,0,0,M_EV_Inj_16,Close,
221,4.4,0,0,M_EV_Inj_17,Close,
222,4.4,0,0,M_EV_Inj_18,Close,
223,4.4,0,0,M_EV_Inj_19,Close,
224,4.9,0.5,500,G_EPV_DRAIN,Close,
225,5.3,0.4,400,M_EPV_DRAIN,Close,
226,8.3,3,3000,P_H_EPV_1,Open,
227,8.3,0,0,P_H_EPV_2,Open,
228,9.3,1,1000,G_EV_Inj_7,Open,
229,9.3,0,0,M_EV_Inj_7,Open,
230,9.3,0,0,G_EV_Inj_13,Open,
231,9.3,0,0,M_EV_Inj_13,Open,
232,11.3,2,2000,P_H_EPV_1,Close,
233,11.35,0.05,50,G_EPV_DRAIN,Open,
234,11.35,0,0,P_H_EPV_2,Close,
235,11.4,0.05,50,M_EPV_DRAIN,Open,
236,11.9,0.5,500,G_EV_Inj_7,Close,
237,11.9,0,0,M_EV_Inj_7,Close,
238,11.9,0,0,G_EV_Inj_13,Close,
239,11.9,0,0,M_EV_Inj_13,Close,
240,12.9,1,1000,G_EPV_DRAIN,Close,
241,13.3,0.4,400,M_EPV_DRAIN,Close,
242,13.8,0.5,500,R_G_EV_1,Open,
243,13.8,0,0,R_M_EV_1,Open,
244,15.8,2,2000,SP_7,Open,
245,15.8,0,0,SP_13,Open,
246,15.9,0.1,100,G_EV_Inj_7,Open,
247,15.9,0,0,G_EV_Inj_13,Open,
248,16.3,0.4,400,M_EV_Inj_7,Open,
249,16.3,0,0,M_EV_Inj_13,Open,
